5 - Matrículas;;;;;;;;;;;;;;;;;
5.1 - Matrículas em Cursos de Graduação Presenciais, por Organização Acadêmica e Localização (Capital e Interior),;;;;;;;;;;;;;;;;;
segundo a Unidade da Federação e a Categoria Administrativa das IES - 2009;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
Unidade da Federação/ Categoria Administrativa;;;Matrículas em Cursos de Graduação Presenciais;;;;;;;;;;;;;;
;;; Total Geral ;;; Universidades ;;; Centros Universitários ;;; Faculdades ;;; IF e CEFET  ;;
;;;Total; Capital ; Interior ;Total; Capital ; Interior ;Total; Capital ; Interior ;Total; Capital ; Interior ;Total; Capital ; Interior 
;;;;;;;;;;;;;;;;;
;;Municipal;892;. ;892;. ;. ;. ;. ;. ;. ;892;. ;892;. ;. ;. 
;Privada;;70.473;24.502;45.971;. ;. ;. ;15.382;. ;15.382;55.091;24.502;30.589;. ;. ;. 
;;Particular;59.844;18.611;41.233;. ;. ;. ;12.341;. ;12.341;47.503;18.611;28.892;. ;. ;. 
;;Comun/Confes;10.629;5.891;4.738;. ;. ;. ;3.041;. ;3.041;7.588;5.891;1.697;. ;. ;. 
Rio de Janeiro;;;512.973;304.213;208.760;345.464;198.553;146.911;96.107;61.129;34.978;61.260;38.043;23.217;10.142;6.488;3.654
;Pública;;122.234;72.504;49.730;107.017;63.559;43.458;869;869;. ;4.206;1.588;2.618;10.142;6.488;3.654
;;Federal;87.603;47.788;39.815;76.632;40.471;36.161;. ;. ;. ;829;829;. ;10.142;6.488;3.654
;;Estadual;33.863;24.716;9.147;30.385;23.088;7.297;869;869;. ;2.609;759;1.850;. ;. ;. 
;;Municipal;768;. ;768;. ;. ;. ;. ;. ;. ;768;. ;768;. ;. ;. 
;Privada;;390.739;231.709;159.030;238.447;134.994;103.453;95.238;60.260;34.978;57.054;36.455;20.599;. ;. ;. 
;;Particular;345.796;204.128;141.668;203.854;110.875;92.979;90.747;58.199;32.548;51.195;35.054;16.141;. ;. ;. 
;;Comun/Confes;44.943;27.581;17.362;34.593;24.119;10.474;4.491;2.061;2.430;5.859;1.401;4.458;. ;. ;. 
São Paulo;;;1.385.107;570.439;814.668;741.965;381.350;360.615;253.047;97.913;155.134;385.861;88.214;297.647;4.234;2.962;1.272
;Pública;;183.085;49.511;133.574;130.289;39.485;90.804;2.996;. ;2.996;45.566;7.064;38.502;4.234;2.962;1.272
;;Federal;20.564;4.626;15.938;15.738;1.664;14.074;. ;. ;. ;592;. ;592;4.234;2.962;1.272
;;Estadual;124.586;44.885;79.701;99.901;37.821;62.080;. ;. ;. ;24.685;7.064;17.621;. ;. ;. 
;;Municipal;37.935;. ;37.935;14.650;. ;14.650;2.996;. ;2.996;20.289;. ;20.289;. ;. ;. 
;Privada;;1.202.022;520.928;681.094;611.676;341.865;269.811;250.051;97.913;152.138;340.295;81.150;259.145;. ;. ;. 
;;Particular;987.612;456.938;530.674;480.635;294.632;186.003;180.823;86.067;94.756;326.154;76.239;249.915;. ;. ;. 
;;Comun/Confes;214.410;63.990;150.420;131.041;47.233;83.808;69.228;11.846;57.382;14.141;4.911;9.230;. ;. ;. 
;;;;;;;;;;;;;;;;;
Sul;;;865.936;232.887;633.049;529.659;140.657;389.002;88.339;22.593;65.746;244.425;68.821;175.604;3.513;816;2.697
;Pública;;246.882;79.397;167.485;226.529;76.894;149.635;4.486;. ;4.486;12.354;1.687;10.667;3.513;816;2.697
;;Federal;120.644;73.348;47.296;117.131;72.532;44.599;. ;. ;. ;. ;. ;. ;3.513;816;2.697
;;Estadual;83.755;6.049;77.706;72.690;4.362;68.328;. ;. ;. ;11.065;1.687;9.378;. ;. ;. 
;;Municipal;42.483;. ;42.483;36.708;. ;36.708;4.486;. ;4.486;1.289;. ;1.289;. ;. ;. 
;Privada;;619.054;153.490;465.564;303.130;63.763;239.367;83.853;22.593;61.260;232.071;67.134;164.937;. ;. ;. 
;;Particular;282.112;91.557;190.555;46.935;17.509;29.426;30.448;11.540;18.908;204.729;62.508;142.221;. ;. ;. 
;;Comun/Confes;336.942;61.933;275.009;256.195;46.254;209.941;53.405;11.053;42.352;27.342;4.626;22.716;. ;. ;. 
;;;;;;;;;;;;;;;;;
Paraná;;;324.937;117.240;207.697;164.763;62.844;101.919;27.277;11.926;15.351;132.782;42.355;90.427;115;115;. 
;Pública;;109.592;28.295;81.297;95.733;26.493;69.240;1.390;. ;1.390;12.354;1.687;10.667;115;115;. 
;;Federal;35.494;26.608;8.886;35.379;26.493;8.886;. ;. ;. ;. ;. ;. ;115;115;. 
;;Estadual;71.419;1.687;69.732;60.354;. ;60.354;. ;. ;. ;11.065;1.687;9.378;. ;. ;. 
;;Municipal;2.679;. ;2.679;. ;. ;. ;1.390;. ;1.390;1.289;. ;1.289;. ;. ;. 
