cod_mun_ibge	cod_mun_mdic
2402006	2402006
2404804	2404804
2405603	2405603
2411809	2411809
2412104	2412104
2413409	2413409
2414308	2414308
2400109	2400109
2402402	2402402
2403004	2403004
2403103	2403103
2403400	2403400
2405702	2405702
2408508	2408508
2408904	2408904
2411429	2411429
2412401	2412401
2401602	2401602
2405108	2405108
2405801	2405801
2408805	2408805
2410108	2410108
2401503	2401503
2402105	2402105
2402808	2402808
2405009	2405009
2405405	2405405
2406403	2406403
2406809	2406809
2407906	2407906
2411106	2411106
2411205	2411205
2411700	2411700
2412302	2412302
2412906	2412906
2413300	2413300
2413706	2413706
2414001	2414001
2401701	2401701
2401800	2401800
2404606	2404606
2405306	2405306
2406155	2406155
2406205	2406205
2406304	2406304
2406601	2406601
2407807	2407807
2408300	2408300
2409100	2409100
2409209	2409209
2409332	2409332
2410306	2410306
2410900	2410900
2411502	2411502
2412609	2412609
2412708	2412708
2413102	2413102
2413508	2413508
2414704	2414704
2414803	2414803
2407500	2407500
2408953	2408953
2409506	2409506
2410405	2410405
2412559	2412559
2413904	2413904
2414407	2414407
2402600	2402600
2407104	2407104
2408201	2408201
2412005	2412005
2412203	2412203
2403251	2403251
2403608	2403608
2408102	2408102
2401206	2401206
2401404	2401404
2402204	2402204
2403509	2403509
2404200	2404200
2407708	2407708
2409803	2409803
2413201	2413201
2414209	2414209
2415008	2415008
2502003	2502003
2502300	2502300
2502805	2502805
2502904	2502904
2504306	2504306
2507408	2507408
2508109	2508109
2509370	2509370
2512804	2512804
2513901	2513901
2514651	2514651
2500700	2500700
2502052	2502052
2502201	2502201
2502409	2502409
2503308	2503308
2503704	2503704
2504108	2504108
2509602	2509602
2512036	2512036
2512077	2512077
2513307	2513307
2513653	2513653
2514503	2514503
2516805	2516805
2516904	2516904
2500775	2500775
2503753	2503753
2504504	2504504
2505501	2505501
2508406	2508406
2508802	2508802
2509156	2509156
2510006	2510006
2510907	2510907
2512101	2512101
2513208	2513208
2513927	2513927
2513968	2513968
2513984	2513984
2514206	2514206
2516201	2516201
2517209	2517209
2501153	2501153
2503407	2503407
2508703	2508703
2510709	2510709
2510808	2510808
2512606	2512606
2513802	2513802
2514404	2514404
2514602	2514602
2500205	2500205
2502607	2502607
2504207	2504207
2504801	2504801
2505907	2505907
2510204	2510204
2510402	2510402
2511301	2511301
2513604	2513604
2502102	2502102
2504405	2504405
2505303	2505303
2505600	2505600
2506608	2506608
2507002	2507002
2511004	2511004
2513356	2513356
2513505	2513505
2514305	2514305
2515708	2515708
2500106	2500106
2503555	2503555
2505402	2505402
2506707	2506707
2508000	2508000
2509008	2509008
2509396	2509396
2512309	2512309
2514552	2514552
2516607	2516607
2516706	2516706
2507804	2507804
2513000	2513000
2513406	2513406
2514701	2514701
2514909	2514909
2517100	2517100
2501534	2501534
2505006	2505006
2506202	2506202
2507705	2507705
2510303	2510303
2511103	2511103
2511400	2511400
2515401	2515401
2516755	2516755
2500734	2500734
2501351	2501351
2503902	2503902
2504702	2504702
2504850	2504850
2508505	2508505
2509701	2509701
2510600	2510600
2510659	2510659
2512200	2512200
2514107	2514107
2514800	2514800
2515203	2515203
2515500	2515500
2516300	2516300
2516508	2516508
2517407	2517407
2500536	2500536
2501575	2501575
2501708	2501708
2502508	2502508
2503100	2503100
2504074	2504074
2504355	2504355
2506509	2506509
2512788	2512788
2513851	2513851
2513943	2513943
2514008	2514008
2500577	2500577
2500908	2500908
2501609	2501609
2505105	2505105
2505352	2505352
2510105	2510105
2510501	2510501
2512002	2512002
2512705	2512705
2516102	2516102
2516151	2516151
2501005	2501005
2503506	2503506
2504157	2504157
2505709	2505709
2512747	2512747
2516003	2516003
2516409	2516409
2501203	2501203
2506004	2506004
2509503	2509503
2515104	2515104
2500304	2500304
2500403	2500403
2501104	2501104
2501500	2501500
2502706	2502706
2509339	2509339
2511608	2511608
2515906	2515906
2500502	2500502
2500809	2500809
2501906	2501906
2503605	2503605
2505204	2505204
2505808	2505808
2506301	2506301
2508208	2508208
2508554	2508554
2509800	2509800
2511707	2511707
2511806	2511806
2515609	2515609
2515930	2515930
2502151	2502151
2504009	2504009
2506103	2506103
2508307	2508307
2509206	2509206
2512408	2512408
2512507	2512507
2515807	2515807
2503803	2503803
2506400	2506400
2506806	2506806
2506905	2506905
2507200	2507200
2507606	2507606
2509404	2509404
2512754	2512754
2513109	2513109
2501302	2501302
2506251	2506251
2509909	2509909
2513158	2513158
2517001	2517001
2501401	2501401
2504033	2504033
2505238	2505238
2505279	2505279
2507101	2507101
2507309	2507309
2508901	2508901
2509057	2509057
2509305	2509305
2512721	2512721
2512903	2512903
2504900	2504900
2507903	2507903
2509107	2509107
2511509	2511509
2512762	2512762
2514453	2514453
2515005	2515005
2515302	2515302
2515971	2515971
2501807	2501807
2503209	2503209
2504603	2504603
2507507	2507507
2508604	2508604
2513703	2513703
2500601	2500601
2503001	2503001
2511202	2511202
2511905	2511905
2601102	2601102
2602001	2602001
2605301	2605301
2606309	2606309
2607307	2607307
2609907	2609907
2612455	2612455
2612554	2612554
2614303	2614303
2615607	2615607
2604304	2604304
2609303	2609303
2610400	2610400
2612208	2612208
2613503	2613503
2614006	2614006
2616100	2616100
2600104	2600104
2602506	2602506
2603405	2603405
2603900	2603900
2605608	2605608
2606903	2606903
2607109	2607109
2607703	2607703
2611533	2611533
2612471	2612471
2612802	2612802
2613602	2613602
2613909	2613909
2614402	2614402
2614600	2614600
2615706	2615706
2615904	2615904
2601201	2601201
2601805	2601805
2605103	2605103
2606606	2606606
2607000	2607000
2609154	2609154
2614105	2614105
2600203	2600203
2603009	2603009
2605152	2605152
2608750	2608750
2609808	2609808
2611101	2611101
2612604	2612604
2615201	2615201
2601607	2601607
2603926	2603926
2605707	2605707
2607406	2607406
2608057	2608057
2611002	2611002
2614808	2614808
2600500	2600500
2602803	2602803
2607505	2607505
2610806	2610806
2615805	2615805
2616001	2616001
2600609	2600609
2601706	2601706
2601904	2601904
2602605	2602605
2603108	2603108
2603801	2603801
2604106	2604106
2606408	2606408
2608008	2608008
2610905	2610905
2611200	2611200
2611705	2611705
2612406	2612406
2613008	2613008
2613107	2613107
2614709	2614709
2604155	2604155
2605806	2605806
2612505	2612505
2612703	2612703
2614501	2614501
2615003	2615003
2615409	2615409
2616183	2616183
2616209	2616209
2602209	2602209
2604908	2604908
2605400	2605400
2608107	2608107
2608909	2608909
2609105	2609105
2609709	2609709
2610509	2610509
2612109	2612109
2613800	2613800
2601003	2601003
2602100	2602100
2602407	2602407
2603207	2603207
2603306	2603306
2603702	2603702
2604700	2604700
2606002	2606002
2606507	2606507
2608255	2608255
2608305	2608305
2608404	2608404
2608602	2608602
2608800	2608800
2610103	2610103
2610301	2610301
2612307	2612307
2613206	2613206
2615102	2615102
2600302	2600302
2600807	2600807
2601300	2601300
2602308	2602308
2603504	2603504
2605004	2605004
2606705	2606705
2608701	2608701
2610202	2610202
2612000	2612000
2613305	2613305
2600708	2600708
2602704	2602704
2603603	2603603
2604007	2604007
2604601	2604601
2605509	2605509
2606200	2606200
2607653	2607653
2607802	2607802
2608453	2608453
2608503	2608503
2609006	2609006
2609501	2609501
2610608	2610608
2615300	2615300
2615508	2615508
2616308	2616308
2604403	2604403
2604502	2604502
2606101	2606101
2611309	2611309
2616407	2616407
2600401	2600401
2600906	2600906
2601409	2601409
2601508	2601508
2604205	2604205
2604809	2604809
2605202	2605202
2605905	2605905
2607950	2607950
2608206	2608206
2609204	2609204
2610004	2610004
2611408	2611408
2611507	2611507
2611804	2611804
2611903	2611903
2612901	2612901
2613404	2613404
2614204	2614204
2614857	2614857
2616506	2616506
2601052	2601052
2606804	2606804
2607604	2607604
2607752	2607752
2600054	2600054
2603454	2603454
2607901	2607901
2609402	2609402
2609600	2609600
2610707	2610707
2611606	2611606
2613701	2613701
2602902	2602902
2607208	2607208
2605459	2605459
2700102	2700102
2701605	2701605
2703304	2703304
2705002	2705002
2706422	2706422
2702405	2702405
2705804	2705804
2707107	2707107
2701803	2701803
2702504	2702504
2704609	2704609
2706109	2706109
2706208	2706208
2706406	2706406
2707206	2707206
2708006	2708006
2708402	2708402
2708956	2708956
2700706	2700706
2700904	2700904
2703403	2703403
2703700	2703700
2704401	2704401
2705408	2705408
2705705	2705705
2706000	2706000
2700805	2700805
2701209	2701209
2702553	2702553
2703106	2703106
2704807	2704807
2704906	2704906
2705309	2705309
2706307	2706307
2706604	2706604
2707602	2707602
2709004	2709004
2700300	2700300
2701506	2701506
2702009	2702009
2702355	2702355
2702603	2702603
2702900	2702900
2704104	2704104
2704203	2704203
2708808	2708808
2709103	2709103
2705903	2705903
2708204	2708204
2709202	2709202
2701902	2701902
2703007	2703007
2707008	2707008
2708105	2708105
2708303	2708303
2709301	2709301
2709400	2709400
2700409	2700409
2701100	2701100
2701308	2701308
2701357	2701357
2701704	2701704
2702108	2702108
2702801	2702801
2703502	2703502
2703809	2703809
2703908	2703908
2705101	2705101
2705200	2705200
2705507	2705507
2705606	2705606
2707305	2707305
2708501	2708501
2703601	2703601
2704500	2704500
2706505	2706505
2707404	2707404
2708709	2708709
2700508	2700508
2700607	2700607
2702207	2702207
2704302	2704302
2704708	2704708
2706448	2706448
2706901	2706901
2707701	2707701
2707909	2707909
